"time","air.T","air.RH","lightAbsorption.panels_NIR_transmitted[1]","lightAbsorption.panels_PAR_transmitted[1]","soil.heatCapacitor1.T","soil.heatCapacitor2.T","soil.heatCapacitor3.T","soil.heatCapacitor4.T","soil.heatCapacitor5.T","climateController.heater_power","weatherFromFile.weather.air_temp"
1.55262e+06,288.1511522261463,0.250846531955848,0,0,286.0122234123193,284.490210581536,283.0435926399135,281.6028450760335,280.0993068375934,90.75489471045483,273.8487426163713
1.55286e+06,288.1511540056343,0.2510305519055208,0,0,286.0090101221489,284.4903738040405,283.0436077609843,281.6026827091051,280.0992174028474,90.46164098073933,273.8954111497793
1.5531e+06,288.1511557851223,0.2512145718144342,0,0,286.0057968319785,284.4905370265449,283.0436228820552,281.6025203421768,280.0991279681014,90.16924087171519,273.9420796831873
1.55334e+06,288.1511575646103,0.2513985916825859,0,0,286.0025835418081,284.4907002490494,283.043638003126,281.6023579752484,280.0990385333554,89.87769248678329,273.9887482165953
1.55358e+06,288.1511593480602,0.2515828050651122,0,0,285.9993789837815,284.4908589862656,283.0436530650244,281.6021959303414,280.0989491924398,89.58634768976171,274.0354167500033
1.55382e+06,288.1511611433969,0.2517675991349965,0,0,285.996200625031,284.4910042661558,283.0436679493861,281.6020348516033,280.0988601330454,89.29392133534458,274.0820852834113
1.55406e+06,288.1511629433389,0.2519528036800021,0,0,285.9930408089142,284.4911402010226,283.0436826198534,281.6018744570948,280.0987712787173,89.00160940039147,274.1287538168193
1.5543e+06,288.1511647556608,0.2521391117513947,0,0,285.9899308399145,284.4912510141894,283.0436967153204,281.6017159019617,280.0986829756573,88.70815959108502,274.1754223502273
1.55454e+06,288.1511665679827,0.2523254197807583,0,0,285.9868208709148,284.4913618273562,283.0437108107874,281.6015573468287,280.0985946725972,88.41558342039346,274.2220908836353
1.55478e+06,288.1511683803046,0.2525117277680939,0,0,285.9837109019152,284.491472640523,283.0437249062543,281.6013987916956,280.0985063695372,88.12387891521306,274.2687594170433
1.55502e+06,288.1511701963586,0.2526980942644904,0,0,285.9806036056303,284.4915821102191,283.0437389692804,281.6012403351764,280.0984180961371,87.83244605561281,274.3154279504514
1.5552e+06,288.1511715139601,0.2528363279527949,0,0,285.9783096499289,284.4916592189878,283.0437492894666,281.6011232433102,280.0983527913082,87.62154829057029,274.35
1.5552e+06,288.1511715139601,0.2528363279527949,0,0,285.9783096499289,284.4916592189878,283.0437492894666,281.6011232433102,280.0983527913082,87.62154829057029,274.3500000302451
1.55526e+06,288.1511720236746,0.2528847407553166,0,0,285.9775090310261,284.49168518931,283.0437528746376,281.6010823482297,280.0983299641785,87.54008529287761,274.3620964838593
1.5555e+06,288.151173857638,0.2530719272777537,0,0,285.9744364557829,284.4917772867233,283.0437664771466,281.600925172793,280.0982420786665,87.24754587455452,274.4087650172673
1.55574e+06,288.1511756973216,0.2532596594996336,0,0,285.9713856900046,284.4918585864398,283.0437797351944,281.6007688018484,280.098154440467,86.95498259100238,274.4554335506754
1.55598e+06,288.1511775452187,0.2534481635835976,0,0,285.9683657528431,284.4919247586725,283.0437924416646,281.600613567502,280.0980671561755,86.66200696975174,274.5021020840833
1.55622e+06,288.1511793933514,0.253636688973556,0,0,285.9653466677277,284.4919905216797,283.0438051287616,281.6004583644832,280.097979881944,86.36988789446943,274.5487706174914
1.55646e+06,288.1511812605382,0.2538269403434432,0,0,285.9623964677012,284.4920232001823,283.0438162496002,281.6003056942032,280.0978934210209,86.07566279952339,274.5954391508993
1.5567e+06,288.1511831277251,0.2540171916691125,0,0,285.9594462676748,284.4920558786849,283.0438273704387,281.6001530239232,280.0978069600978,85.78234589547267,274.6421076843073
1.55694e+06,288.1511849949119,0.2542074429505646,0,0,285.9564960676483,284.4920885571876,283.0438384912773,281.6000003536431,280.0977204991748,85.48993501957392,274.6887762177154
1.55718e+06,288.1511868620988,0.2543976941877978,0,0,285.9535458676219,284.4921212356901,283.0438496121159,281.5998476833631,280.0976340382517,85.19842800096733,274.7354447511233
1.55742e+06,288.1511887436864,0.2545886021199448,0,0,285.9506220630926,284.4921413777245,283.0438600689799,281.5996959817354,280.0975478932567,84.9055848871521,274.7821132845314
1.55766e+06,288.1511906296856,0.2547797111946816,0,0,285.9477063446369,284.4921576793006,283.0438703224399,281.5995445768474,280.0974618450439,84.6129718360129,274.8287818179394
1.5579e+06,288.1511925285836,0.2549718968819925,0,0,285.9448339302612,284.4921538653479,283.0438792841332,281.5993947533367,280.0973763289497,84.31928245431308,274.8754503513474
1.55814e+06,288.1511944346703,0.2551646825510052,0,0,285.9419856494944,284.4921388408971,283.0438875259176,281.5992458111363,280.097291109408,84.02541233932625,274.9221188847554
1.55838e+06,288.1511963407569,0.2553574681742774,0,0,285.9391373687276,284.4921238164462,283.0438957677021,281.5990968689359,280.0972058898664,83.73247276677837,274.9687874181633
1.55862e+06,288.1511982468436,0.2555502537518086,0,0,285.9362890879608,284.4921087919954,283.0439040094865,281.5989479267355,280.0971206703247,83.44046143360451,275.0154559515714
1.5588e+06,288.1511996539176,0.2556929607424022,0,0,285.9341810770477,284.4920975367107,283.0439101013946,281.5988376901761,280.0970575943195,83.22549274460151,275.05
1.5588e+06,288.1511996539176,0.2556929607424022,0,0,285.9341810770477,284.4920975367107,283.0439101013946,281.5988376901761,280.0970575943195,83.22549274460151,275.0500000216544
1.55886e+06,288.1512000106641,0.2557431165388593,0,0,285.9334423297984,284.4920930390433,283.0439122040777,281.5987990418537,280.0970354700996,83.17107012764075,275.0586603464138
1.5591e+06,288.1512013638481,0.2559373065468689,0,0,285.9306128279005,284.4920688005107,283.0439198298732,281.5986508266869,280.0969504969544,82.96493237324476,275.0919950131338
1.55934e+06,288.1512027202901,0.2561330263434199,0,0,285.9278021064654,284.492035353972,283.0439267985781,281.5985033424652,280.096865774584,82.75876478255417,275.1253296798538
1.55958e+06,288.1512040814443,0.2563309514797332,0,0,285.9250181899037,284.4919888833438,283.0439327735508,281.5983568987244,280.0967814139828,82.55234960482316,275.1586643465739
1.55982e+06,288.151205442637,0.2565288944192631,0,0,285.9222344850924,284.4919423120281,283.0439387396605,281.5982104631396,280.0966970563093,82.3463972446753,275.1919990132938
1.56006e+06,288.151206814748,0.2567319061205043,0,0,285.919510954936,284.4918671276794,283.04394218713,281.5980663453282,280.0966135306161,82.13926635432223,275.2253336800139
1.5603e+06,288.1512081868589,0.2569349177870739,0,0,285.9167874247795,284.4917919433306,283.0439456345995,281.5979222275167,280.096530004923,81.93260996319208,275.2586683467338
1.56054e+06,288.1512095589699,0.2571379294189713,0,0,285.9140638946231,284.4917167589818,283.043949082069,281.5977781097052,280.0964464792298,81.72642720959905,275.2920030134538
1.56078e+06,288.1512109310808,0.2573409410161967,0,0,285.9113403644666,284.491641574633,283.0439525295386,281.5976339918938,280.0963629535366,81.52071724079568,275.3253376801738
1.56102e+06,288.1512123110147,0.2575458633030833,0,0,285.9086391389214,284.4915559026589,283.0439549902546,281.5974907294363,280.0962797398739,81.3143104188453,275.3586723468939
1.56126e+06,288.1512136935986,0.2577514328516488,0,0,285.9059454695196,284.4914666777872,283.0439571166877,281.5973477567474,280.0961966319177,81.10798503767769,275.3920070136139
1.5615e+06,288.1512150831478,0.2579601718248134,0,0,285.9032879417383,284.4913608352798,283.0439574776341,281.5972061563647,280.0961140410469,80.9011012552655,275.4253416803339
1.56174e+06,288.15121647699,0.2581708642593623,0,0,285.9006526898571,284.4912447504872,283.0439567504222,281.5970654018033,280.0960317688816,80.69406189425892,275.4586763470538
1.56198e+06,288.1512178708322,0.2583815566573583,0,0,285.8980174379758,284.4911286656946,283.0439560232103,281.596924647242,280.0959494967164,80.48750598983123,275.4920110137739
1.56222e+06,288.1512192646744,0.2585922490188003,0,0,285.8953821860945,284.4910125809021,283.0439552959984,281.5967838926806,280.0958672245512,80.28143264197118,275.5253456804938
1.5624e+06,288.1512202607786,0.2587480888760632,0,0,285.893433329446,284.4909266392463,283.0439547490595,281.5966797975595,280.0958063786612,80.13445823540111,275.55
1.5624e+06,288.1512202607786,0.2587480888760632,0,0,285.893433329446,284.4909266392463,283.0439547490595,281.5966797975595,280.0958063786612,80.13445823540111,275.5500000086809
1.56246e+06,288.1512204307042,0.2588030631728357,0,0,285.8927480306968,284.4908959561026,283.0439545111016,281.5966431827374,280.0957849692236,80.10941038956565,275.5534721388855
1.5627e+06,288.1512209459724,0.2590157363990939,0,0,285.890127793831,284.4907722016522,283.0439529477688,281.5965030629895,280.0957029380234,80.03350106564049,275.5668060055735
1.56294e+06,288.1512214619331,0.2592305013731054,0,0,285.8875228997376,284.4906405856973,283.0439504906016,281.5963635962553,280.0956211578014,79.95755552887773,275.5801398722616
