"time","air.T","climateController.heater_power","lightAbsorption.panels_NIR_transmitted[1]","lightAbsorption.panels_NIR_transmitted[2]","lightAbsorption.panels_PAR_transmitted[1]","lightAbsorption.panels_PAR_transmitted[2]","air.RH","soil.heatCapacitor1.T","soil.heatCapacitor2.T","soil.heatCapacitor5.T","soil.heatCapacitor3.T","soil.heatCapacitor4.T","weatherFromFile.weather.air_temp"
1.67623e+06,288.1514860460964,4.870269857336762,5.207696311830952e-05,5.802396481563378e-05,4.260842436952597e-05,4.747415303097309e-05,0.4077063460528684,289.8556675788653,290.647016127554,290.8296246172702,290.9843850065084,291.0372248399127,272.788137525501
1.67647e+06,288.1514845242359,4.884391029420004,5.974943072917904e-05,6.537156593581051e-05,4.88858978693283e-05,5.348582667475406e-05,0.4075243569568565,289.8537036108683,290.6458222513947,290.8289281151836,290.9836356048076,291.0365406498614,272.781470592157
1.67671e+06,288.1514830023755,4.898551036997167,6.777918700607141e-05,7.289218547670969e-05,5.545569845951298e-05,5.963906084458067e-05,0.4073423678263688,289.8517396428712,290.6446283752355,290.828231613097,290.9828862031068,291.03585645981,272.774803658813
1.67695e+06,288.1514814878205,4.912681721122586,7.61473876859475e-05,8.057439305503007e-05,6.230240810668433e-05,6.592450340866095e-05,0.4071602307579275,289.8497802628957,290.6434336939063,290.8275352129485,290.9821358374659,291.0351720694427,272.768136725469
1.67719e+06,288.151479980399,4.926784228998166,8.483358774865256e-05,8.840677068572183e-05,6.940929906707937e-05,7.233281237922693e-05,0.4069779492353228,289.8478253628797,290.6422382263713,290.8268389123372,290.9813845305885,291.0344874834776,272.761469792125
1.67743e+06,288.1514784786531,4.940871802514696,9.381609374868286e-05,9.637800280348492e-05,7.675862215801324e-05,7.885472956648764e-05,0.4067955570049665,289.8458738977079,290.6410421651849,290.8261426877505,290.9806324999174,291.0338027454861,272.754802858781
1.6776e+06,288.1514774318587,4.950714146297319,0.0001004580413536436,0.0001022002602052225,8.219294292570844e-05,8.361839471336387e-05,0.4066641177392128,289.8444700152204,290.6401801849662,290.8256411702482,290.9800903252585,291.0333093733245,272.75
1.6776e+06,288.1514774318587,4.950714146297319,0.0001004583672872671,0.0001022006108105361,8.219320959867306e-05,8.361868157225679e-05,0.4066641177392128,289.8444700152204,290.6401801849662,290.8256411702482,290.9800903252585,291.0333093733245,272.7499999953395
1.67767e+06,288.1514770492563,4.954316149297233,0.0002322211059225749,0.0002431572938473189,0.0001899990866639249,0.00019894687678417,0.4066130862618698,289.8439253750644,290.6398455955975,290.8254465283237,290.9798798485998,291.0331178770379,272.748135925437
1.67791e+06,288.1514757771799,4.966309956408482,0.0007257952083532795,0.0007587989743089311,0.0005938324431981377,0.00062083552443458,0.4064303942788558,289.8419817277338,290.6386481722767,290.8247504792009,290.979126141389,291.0324327849308,272.741468992093
